,categories,themes
0,Culture,Culture and the arts
1,Humanities,Culture and the arts
2,Classical studies,Culture and the arts
3,Critical theory,Culture and the arts
4,Cultural anthropology,Culture and the arts
5,Folklore,Culture and the arts
6,Food culture,Culture and the arts
7,Food and drink,Culture and the arts
8,Languages,Culture and the arts
9,Literature,Culture and the arts
10,Museology,Culture and the arts
11,Mythology,Culture and the arts
12,Philosophy,Culture and the arts
13,Popular culture,Culture and the arts
14,Science and culture,Culture and the arts
15,Traditions,Culture and the arts
16,Arts,Culture and the arts
17,Entertainment,Culture and the arts
18,Arts and crafts,Culture and the arts
19,Celebrity,Culture and the arts
20,Censorship in the arts,Culture and the arts
21,Festivals,Culture and the arts
22,Humor,Culture and the arts
24,Museums,Culture and the arts
25,Parties,Culture and the arts
26,Poetry,Culture and the arts
27,Performing arts,Culture and the arts
28,Circus,Culture and the arts
29,Dance,Culture and the arts
30,Film,Culture and the arts
31,Music,Culture and the arts
32,Opera,Culture and the arts
33,Storytelling,Culture and the arts
34,Theatre,Culture and the arts
35,Visual arts,Culture and the arts
36,Architecture,Culture and the arts
37,Comics,Culture and the arts
38,Crafts,Culture and the arts
39,Design,Culture and the arts
40,Drawing,Culture and the arts
42,Animation,Culture and the arts
44,New media art,Culture and the arts
45,Painting,Culture and the arts
46,Photography,Culture and the arts
47,Sculpture,Culture and the arts
48,Games,Culture and the arts
49,Toys,Culture and the arts
50,Board games,Culture and the arts
51,Card games,Culture and the arts
52,Dolls,Culture and the arts
53,Puppetry,Culture and the arts
54,Puzzles,Culture and the arts
55,Role-playing games,Culture and the arts
56,Video games,Culture and the arts
57,Sports,Culture and the arts
58,Recreation,Culture and the arts
59,Air sports,Culture and the arts
60,American football,Culture and the arts
61,Association football,Culture and the arts
62,Auto racing,Culture and the arts
63,Baseball,Culture and the arts
64,Basketball,Culture and the arts
65,Boating,Culture and the arts
66,Boxing,Culture and the arts
67,Canoeing,Culture and the arts
68,Cricket,Culture and the arts
69,Cycling,Culture and the arts
70,Physical exercise,Culture and the arts
71,Fishing,Culture and the arts
72,Golf,Culture and the arts
73,Gymnastics,Culture and the arts
74,Hobbies,Culture and the arts
75,Horse racing,Culture and the arts
76,Ice hockey,Culture and the arts
77,Lacrosse,Culture and the arts
78,Olympic Games,Culture and the arts
79,Rugby league,Culture and the arts
80,Rugby union,Culture and the arts
81,Sailing,Culture and the arts
82,Skiing,Culture and the arts
83,Swimming,Culture and the arts
84,Tennis,Culture and the arts
85,Track and field,Culture and the arts
86,Walking,Culture and the arts
87,Water sports,Culture and the arts
88,Whitewater sports,Culture and the arts
89,Mass media,Culture and the arts
90,Broadcasting,Culture and the arts
92,Internet,Culture and the arts
93,Magazines,Culture and the arts
94,Newspapers,Culture and the arts
95,Publications,Culture and the arts
96,Publishing,Culture and the arts
97,Television,Culture and the arts
98,Radio,Culture and the arts
99,Earth,Geography and places
100,World,Geography and places
101,Bodies of water,Geography and places
102,Cities,Geography and places
103,Communities,Geography and places
104,Continents,Geography and places
105,Countries,Geography and places
106,Deserts,Geography and places
107,Lakes,Geography and places
108,Landforms,Geography and places
109,Mountains,Geography and places
110,Navigation,Geography and places
111,Oceans,Geography and places
112,Populated places,Geography and places
113,Protected areas,Geography and places
114,Regions,Geography and places
115,Rivers,Geography and places
116,Subterranea (geography),Geography and places
117,Territories,Geography and places
